"ID
Inven
tario
Na
cio
nal",NOMBRE CIENTÍFICO,NOMBRE COMÚN,SINONIMIA incompleta,REINO,"PHYLLUM /
DIVISIÓN",CLASE,ORDEN,FAMILIA,"HÁBITO 
(sólo plantas)","ENDÉMICA
respecto de Chile 
(? = dudoso)","DISTRIBUCIÓN REGIONES:
ANT= ANTARTICA
DV= DESVENTURADAS
IP= ISLA DE PASCUA
JF= Arch. JUAN FERNÁNDEZ
SG= SALAS Y GOMEZ
? = Sin datos o de presencia dudosa o requiere confirmación",Arica y Parinacota,Tarapacá,Antofagasta,Atacama,Coquimbo,Valparaíso continental,Metropolitana,O'higgins,Maule,Ñuble,Bío-Bío,Araucanía,De Los Ríos,De Los Lagos,Aysén,Magallanes continental e insular,Antártica,Isla Pascua,Salas y Gómez,Juan Fernandez,Desventuradas,"CATEGORÍA VIGENTE:
CR = En peligro crítico
DD = Datos insuficientes
EN = En Peligro
EW= Extinta en estado silvestre
EX = Extinta
FP = Fuera de Peligro
IC = Insuficientemente Conocida
LC = Preocupación menor
NT = Casi amenazada
R  = Rara
VU = Vulnerable","FUENTE DE CATEGORÍA VIGENTE:
CAZA  = Reglamento Ley de CAZA
RCE = Reglamento de Clasificación Especies.",Criterio clasificación para especies RCE Vigentes,"NÚMERO PROCESO RCE  
se clasificó categoría Vigente","REFERENCIA o DECRETO
Categoría Vigente","Categoría ANTERIOR a RCE actual
(NO VIGENTE)
Bol_47 = Boletín 47 MNHN
CAZA  = Reglamento Ley de CAZA
L_Rojo_Flora = Libro Rojo de flora
L_Rojo_Vert = Libro Rojo de vertebrados
Núñez et al. 1997 = Reunión de herpetólogos
Yáñez et al. 1997 = Reunión especialistas mamíferos acuáticos
RCE = Reglamento de Clasificación Especies.","Fuente Categoría ANTERIOR a RCE actual 
(NO VIGENTE)
(Ver valores en columna adyacente)","Categoría ANTE ANTERIOR a RCE actual 
(NO VIGENTE)
Bol_47 = Boletín 47 MNHN
CAZA  = Reglamento Ley de CAZA
L_Rojo_Flora = Libro Rojo de flora
L_Rojo_Vert = Libro Rojo de vertebrados
Núñez et al. 1997 = Reunión de herpetólogos
Yáñez et al. 1997 = Reunión especialistas mamíferos acuáticos
RCE = Reglamento de Clasificación Especies.","Fuente Categoría  ANTE ANTERIOR a RCE actual  
(NO VIGENTE)
(Ver valores en columna adyacente)","Es vertebrado, INvertebrado, Planta u Hongo "
1828,Aa nervosa,,Myrosmodes nervosa ,Plantae,Magnoliophyta,Liliopsida,Asparagales,Orchidaceae,Hierba,NO,XV-I,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VU,RCE,VU B1ab(iii),6,DS 41/2011 MMA,,,,,Planta
2814,Abrocoma bennetti,"ratón chinchilla común, ratón chinchilla de Bennett, bori",,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,,SI,III-VIII,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,LC,RCE,--,12,DS 16/2016 MMA,IC,CAZA,,,Vertebrado
766,Abrocoma cinerea,"ratón chinchilla de cola corta, ratón chinchilla cenicienta",,Animalia,Chordata,Mammalia,Rodentia,Abrocomidae,,NO,XV-II,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LC,RCE,--,15,DS 23/2019 MMA,LC,RCE 8 (DS 19/2012 MMA),"IC
IC","CAZA
L_ROJO_Vert",Vertebrado
773,Abrothrix longipilis,"ratón lanudo común, ratón de pelo largo",Akodon longipilis,Animalia,Chordata,Mammalia,Rodentia,Muridae,,NO,IV-XII,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,LC,RCE,--,8,DS 19/2012 MMA,IC,L_ROJO_Vert,,,Vertebrado
1071,Acaena masafuerana, ,,Plantae,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Hierba,SI,JF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CR,RCE,CR B1ab(iii)+2ab(iii),5,DS 33/2011 MMA,,,,,Planta
8249,Acalodegma vidali,,,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,SI,III,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EN,RCE,EN B1ab(iii)+2ab(iii),13,DS 06/2017 MMA,,,,,Invertebrado
8250,Acanthinodera cumingii,"madre de la culebra, matabuey, matacaballo, llico, jotezón del monte","Amallopodes scabrosus Lequien, 1833; Ancistrotus cummingi Porter, 1939; Malloderus microcephalus Drapiez, 1841; Prionus cumingii Hope, 1833; Prionus mercurius Wendt, 1984",Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,,SI,IV-IX,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,LC,RCE,--,13,DS 06/2017 MMA,,,,,Invertebrado
,Acanthococcus ventrispinus,cochinilla de fieltro (genérico),,Animalia,Arthropoda,Insecta,Hemiptera,Eriococcidae,,No,X,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,DD,RCE,--,17,DS 44/2021 MMA,,,,,Invertebrado
,Acanthogonatus hualpen,Araña (genérico),,Animalia,Arthropoda,Arachnida,Araneae,Nemesiidae,,SI,VIII,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CR,RCE,CR B1ab(iii)+2ab(iii),17,DS 44/2021 MMA,,,,,Invertebrado
,Acanthogonatus pissii,Araña cebra dorada,"Brachythele pissii Simon, 1889; Tryssothele pissii Simon, 1902; Tryssothele latastei Simon, 1902; Tryssothele australis Chamberlin, 1917; Aphantopelma venosum Mello-Leitão, 1936",Animalia,Arthropoda,Arachnida,Araneae,Nemesiidae,,Si,IV-VIII,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,LC,RCE,--,17,DS 44/2021 MMA,,,,,Invertebrado
